"Pax6" "Mash1" "Zic1" "Brn2" "Tuj1" "Hes5" "Scl" "Olig2" "Stat3" "Aldh1L" "Myt1L" "Sox8"
"cell_37" 5.9952741068044 1.19386765155093 0.274807833646708 -0.104489300927732 -0.00295602614435832 1.15867161939107 0.313852087216465 0.328358303316653 -0.0294823223702659 -0.0231969329497438 0.0311484424089242 0.0193773785342139
"cell_38" 6.00575462604172 1.2058600996279 0.292312738374433 -0.107143103023124 -0.0015775735659165 1.18957669101271 0.344742668965495 0.356464648064629 -0.0306722433835985 -0.0109131700745205 0.0196032702118152 -0.0175494664071167
"cell_39" 5.99918834278236 1.22356813431232 0.297497520101645 -0.114488421662881 0.00168585492453454 1.22167748738643 0.363209500600451 0.384616028868082 -0.0396763980567643 -0.0118214463613508 0.0189128737529588 -0.0228524062108858
"cell_40" 5.98742306426047 1.27199274660632 0.313935761807881 -0.10561055044189 -0.00363319556706761 1.25800485036843 0.404042449719347 0.409056477476315 -0.0311036201590157 -0.0051518917915946 0.0323450132688554 -0.00956623008157344
"cell_41" 5.97878260345561 1.28923621055075 0.339744764182987 -0.108064488837731 0.00113912656369963 1.28001243686886 0.426487662818517 0.44002375246557 -0.0263450534851909 0.0117464607322687 0.0303754174026303 -0.00494343918998142
"cell_42" 5.98211471988737 1.31220547753665 0.362230739882108 -0.102014783223776 0.00390820592398889 1.30126039274929 0.450538181063878 0.47129650030369 -0.00318558244512623 0.0112771316303248 0.0190554299723256 -0.0204435344525237
"cell_43" 5.98074341238125 1.34699511886309 0.402994601078464 -0.109277572230955 -0.00185279982058356 1.32968598120873 0.478060157200541 0.477320135722243 0.00963207550085941 0.0154125640549179 0.0103116946912374 -0.0153070360334597
"cell_44" 5.97439082620417 1.38660425071574 0.420868327467219 -0.0938498199831358 0.00871953976547785 1.35675842804824 0.496111351423454 0.502905542728833 0.00595491717601908 0.0275916743412802 -0.00128022246633919 -0.0254860208334592
"cell_45" 5.96105132532836 1.41896656519349 0.441433669493834 -0.0819419337056854 0.0147634886817454 1.37741771249064 0.514215766568161 0.506805498238685 0.0048933844413878 0.03125496067493 0.00837706277987648 -0.0226664595695634
"cell_46" 5.9368435909811 1.44909886142526 0.474844058727179 -0.0937736609711139 0.0173114797036724 1.39795402644877 0.529957572920481 0.52435710529628 0.015266276656726 0.0401237753767638 0.0073597491787378 -0.0177807823561582
"cell_47" 5.94888286958981 1.48270437199025 0.517435365820787 -0.0889630246105984 0.0291404491323197 1.42330737022869 0.545032378353261 0.546454993680209 0.0150353693600516 0.032193745709256 0.0296558375287491 -0.0184683029635247
"cell_48" 5.94728003268253 1.50423956906231 0.535418834762101 -0.0810830451567047 0.0323746813644109 1.44980137112308 0.565311490151676 0.575205907068806 0.0204316191145498 0.0280211707158307 0.026847405772545 -0.0233001438787335
"cell_49" 5.94116163556359 1.53235136950675 0.54565050839236 -0.0824871474188885 0.0603680589803343 1.47255397062188 0.605577654511101 0.609151089752038 0.0438576211521379 0.00794110918876425 0.0262329277316549 -0.0225115686035217
"cell_50" 5.94347496635863 1.55257901297563 0.56462306504061 -0.0700331164400406 0.0643429764385541 1.49192748165252 0.62927073712705 0.6589705933969 0.052791533347955 0.00275786843886347 0.0279665025471237 -0.0316363350264053
"cell_51" 5.9504911848274 1.57131402555449 0.594484229874631 -0.0680452715429841 0.0641958027534697 1.51338323009289 0.66480247579141 0.681296150657688 0.0574523055202744 0.0155334832243621 0.0331083400264486 -0.0414528028944984
"cell_52" 5.95704068101351 1.60551247360852 0.601296014402804 -0.0722379756698919 0.063738044419745 1.53496876779365 0.67984348928412 0.713413378364175 0.0673435543815279 0.018093030429858 0.0552291470404006 -0.0479336856760448
"cell_53" 5.96488207661636 1.65448617935981 0.612980209113976 -0.0614321691722665 0.0805106986645695 1.54579695245803 0.715405615802296 0.738116839809251 0.0759359011341365 0.00765985660462261 0.0523228041454799 -0.0386705957718385
"cell_54" 5.96706833312573 1.6729940157953 0.637512036338128 -0.0629553660175072 0.0873098636592768 1.56719706192202 0.743099190734899 0.761607245155392 0.0815606073659397 0.0176913195402859 0.0591456147898125 -0.021637398044392
"cell_55" 5.96895361802819 1.68402738192871 0.668336234363149 -0.0648040665691648 0.0969791338688631 1.59152664064923 0.776121182841596 0.776289150883895 0.083393752674521 0.0183516062326708 0.05739161342992 -0.0267351452291405
"cell_56" 5.96417888606165 1.69176338623634 0.69565857025654 -0.061340552634421 0.10762006260736 1.60636548631507 0.818747097490649 0.807618292477914 0.09587848987418 0.0215607067237381 0.0851414275873483 -0.0375122522031892
"cell_57" 5.96237706737077 1.72310524916465 0.725204016684118 -0.0594190109998453 0.121824280144434 1.61382798962137 0.853758259169251 0.836778976598917 0.0914093512100203 0.011928667189832 0.0905683118984998 -0.0255160125719368
"cell_58" 5.96456027525296 1.73427778179682 0.744668294891606 -0.065622903724939 0.126159592720104 1.63000329262417 0.868333295805248 0.855356358297339 0.0818442683109712 0.0104594002566988 0.111608935928468 -0.0182494628810533
"cell_59" 5.97549540260542 1.74323053528895 0.755445505068267 -0.059725915650344 0.136346714597382 1.63690451209829 0.899238208147508 0.898941044547954 0.0748366477720708 0.0195527519987261 0.115628215000841 -0.0186445179877018
"cell_60" 5.98369525169328 1.76465531111021 0.753349592334907 -0.0514581448245453 0.129699539729283 1.65350617162093 0.915169084668315 0.917713138299393 0.0918155014290776 0.019281293907217 0.126939013496502 -0.0192665615157733
"cell_61" 5.9960241211603 1.78242591104788 0.77937853524544 -0.0501928441799539 0.142041948800635 1.67769820754295 0.935306197666694 0.948879814674719 0.0873635255481106 0.0166500953238168 0.121432274618761 0.0123596058987377
"cell_62" 5.99939869710271 1.797521684991 0.794804611529209 -0.061243079503345 0.139880786649697 1.71350791581269 0.956451753935456 0.966578607566759 0.10131273402855 0.0219799627435586 0.126764708788463 0.0197822301597037
"cell_63" 5.99673333466398 1.81554868938197 0.828208113613356 -0.0725294449492204 0.133206968252847 1.73588507122588 0.993377440754085 0.983497244274191 0.109797095969632 0.00487788958139355 0.129833603524523 0.0312504938113058
"cell_64" 5.976301218569 1.8456078840628 0.856981575370264 -0.0662231722346186 0.160903342743127 1.75526707226531 1.01624178570832 1.00067726723623 0.100523844756258 -0.0150137998092576 0.140429951765638 0.0484987686740508
"cell_65" 5.98404342745666 1.8624069300382 0.883485094281129 -0.0516912014482933 0.147708793397908 1.7698047333567 1.04138100964501 1.00851290981135 0.106044275373026 -0.0287727518188721 0.161065812716905 0.0533908371264863
"cell_66" 5.97876082402723 1.89086262499985 0.904398962746318 -0.0563898845797022 0.162943800671905 1.78268457009707 1.07821821159727 1.04363442079058 0.107058507905569 -0.0235018907708907 0.169157513507044 0.0699146424560495
"cell_67" 5.96791599092374 1.90431496726372 0.938057351926414 -0.0357368139487816 0.167847034666657 1.80152716482655 1.12481173941442 1.0744458742303 0.141967803457582 -0.0438211640043999 0.184803328656017 0.0684750870561378
"cell_68" 5.97402399191524 1.9165106598898 0.962299248853687 -0.0190317691248569 0.164007648677358 1.817715851042 1.14507833191817 1.08968145287388 0.157260773267888 -0.0490150760281114 0.190108537347441 0.0669398546531762
"cell_69" 5.96837260877971 1.93166139888371 0.975098184133337 -0.0106048340819979 0.16002164958361 1.83168405894739 1.14405845858603 1.10556722724126 0.160045093086223 -0.0424760899877145 0.210542346518364 0.0767440040015828
"cell_70" 5.97331071604594 1.96575619389413 1.0060268475042 0.00657208171703334 0.162527647636867 1.85373880084667 1.16604154509491 1.12407750805996 0.160446931225823 -0.0376365165051386 0.225577349185138 0.0852755111667066
"cell_71" 5.98747333621868 1.97864598090301 1.02180208619706 0.0180840002881698 0.178901571442264 1.86785078758014 1.19620918346516 1.13219416957915 0.18530675620632 -0.0401199505515173 0.228075143388132 0.0957213624502701
"cell_72" 5.97882816269005 1.99219555394978 1.04255915664602 0.0316928758432073 0.192062808178587 1.86868557674514 1.20736487973022 1.1560890239302 0.206786356664503 -0.0415992639791678 0.250893883814023 0.11704256085809
"cell_73" 5.99857003731338 2.00477879583198 1.04967474647899 0.0327720460854858 0.205790231821645 1.86299123629158 1.21843415520805 1.16250394470045 0.211504249495859 -0.0405180480215199 0.266438563103337 0.129321131403601
"cell_74" 5.98889248662484 2.01824825730192 1.08108638997726 0.0592740740187209 0.217966635399432 1.87871603379542 1.20942478439795 1.19228642567994 0.220545567194812 -0.0270906027340688 0.269118391162377 0.144816943189829
"cell_75" 5.97852002907127 2.04134782740183 1.11638343821463 0.0734204986431965 0.225183068709944 1.89166717183836 1.22135083546016 1.21465565757402 0.222364126434398 -0.0241482980019308 0.285049873029968 0.147075410382331
"cell_76" 5.96456783025629 2.06299257763991 1.12552636087017 0.0869251524497 0.232140661897048 1.89971098823049 1.24185150363701 1.23869708481017 0.234516657052874 -0.0380342129582267 0.297597990756367 0.17403701023755
"cell_77" 5.94702823915039 2.0981007301959 1.14496959842451 0.0896903836300629 0.236589785820069 1.937705016525 1.25015787504627 1.26778936778278 0.244150978582876 -0.0329005622276085 0.324721551363952 0.186694339324302
"cell_78" 5.93163462077119 2.1007734161206 1.15443098632996 0.110118822076248 0.252030130517332 1.94212997772909 1.25878701436044 1.28433465364062 0.275106667896488 -0.0287986125830227 0.340289815684566 0.196041066506783
"cell_79" 5.93595503821678 2.10196517879111 1.1571086802935 0.110503997356667 0.259950816989754 1.9647014553642 1.2837633183409 1.2942169259752 0.290644300477612 -0.0306588595679528 0.374372718532616 0.198407483440961
"cell_80" 5.9370924609277 2.11462299688597 1.17409266176578 0.118116205177915 0.284252174918505 1.97628127812715 1.29537993142241 1.29597187352896 0.309974098419896 -0.0430092380369168 0.37764502233489 0.19955059137485
"cell_81" 5.9320143459705 2.1448498591816 1.18833815350348 0.123412683532137 0.29789656287385 1.99800390282902 1.31912602165864 1.30790604041264 0.322658560097009 -0.0378828741553112 0.386305844113136 0.222671992331744
"cell_82" 5.92659558982194 2.15835184108107 1.21000983761648 0.11765877355793 0.331450024711704 1.99560342764884 1.34265467569228 1.33642425646781 0.34848580635206 -0.0378109912370352 0.395106440277692 0.230459123046309
"cell_83" 5.93494987118315 2.18165195108345 1.2439121870207 0.125556440378101 0.354360786909446 1.99220460533975 1.3685890651001 1.35290117479504 0.353771621714178 -0.0408989632656087 0.39018404745718 0.236036505995784
"cell_84" 5.92010110452957 2.20239801156594 1.25710770807489 0.145509115442784 0.370797032035939 1.99588573345002 1.39081175544112 1.35442387419842 0.369907977840301 -0.0357054756897485 0.409077229202768 0.241039725654076
"cell_85" 5.9055617417025 2.20874049052701 1.26928670624471 0.161469358112956 0.388073458459201 2.00326782809205 1.40772265054881 1.37175855051863 0.391600442511606 -0.0461384789670848 0.428412470244573 0.243088499996197
"cell_86" 5.91591418005295 2.20944985363956 1.27625398766813 0.153150385817841 0.399528927973821 2.01919642409703 1.4285025761077 1.37535369916438 0.393989607842056 -0.0389409101147446 0.440224024121637 0.264725313203812
"cell_87" 5.91175938735739 2.21457927610022 1.29484462438318 0.158496303547868 0.416166039474394 2.03207987514609 1.43096109144829 1.38151630399077 0.412782824209038 -0.0370935607465324 0.45487345785014 0.251517293908913
"cell_88" 5.90610319412984 2.23726574979516 1.31215151393301 0.178450219454306 0.444132123665532 2.02790339684839 1.44368913130223 1.3867938704453 0.417559069880054 -0.0284289261862126 0.460628196234903 0.271181171493624
"cell_89" 5.90431897697751 2.25057651315953 1.32163279550439 0.188805401769798 0.46830852222632 2.03405955944105 1.46794571243389 1.40700582000535 0.443798757072962 -0.0219680892151188 0.452370094268363 0.277123563264782
"cell_90" 5.89162832489906 2.26341789203403 1.34094628203616 0.196952068136368 0.48702426639773 2.0444955678946 1.48065905188504 1.43194010074491 0.463856198700668 0.00452374050138083 0.443960374246313 0.288670491680369
"cell_91" 5.88446613130847 2.27492035717263 1.35997281543559 0.204759591487978 0.527616622340206 2.07095603301426 1.49791016570324 1.44444463742594 0.476852042131969 0.0219509883973246 0.456773678283127 0.298620052311306
"cell_92" 5.88001814677657 2.28317569234516 1.37311225618543 0.215732168862757 0.543246776833272 2.06175608407168 1.51840459585249 1.44353661558401 0.491449901860305 0.0159299868249714 0.46348769199618 0.313742040642064
"cell_93" 5.87543437487122 2.30415249314957 1.36952054513215 0.247775808065069 0.566640736316301 2.07130439015079 1.53158221657865 1.45044023868068 0.491537475064441 0.0104481696020096 0.471809268635524 0.310285802659619
"cell_94" 5.86885162709988 2.31572420233016 1.3997721408152 0.253695254540138 0.578764580445989 2.07310128971562 1.54312593407465 1.45827720234506 0.510140988196629 0.0163521312902249 0.478445247421204 0.317748916959896
"cell_95" 5.88542696235369 2.33037182172255 1.40950955563302 0.261478811831624 0.568111711989483 2.07700543893451 1.54864745815062 1.46413043744141 0.520311275790955 0.026876455695357 0.481158330973651 0.334677955990782
"cell_96" 5.88368285139187 2.34451275914494 1.43914762841301 0.270796625920658 0.572218858817945 2.07297049107917 1.56280731087451 1.47104989443575 0.554498068917773 0.0244476347782787 0.515240509752941 0.357832597863231
"cell_97" 5.88983211400664 2.34097109589224 1.45129116017843 0.284192554812772 0.603305640702153 2.07844000359114 1.5730230485236 1.47382558827479 0.566290190865089 0.0264115679054673 0.530815336987794 0.379284629394854
"cell_98" 5.87199683609441 2.35100452272915 1.47785391819549 0.298068433774378 0.620520636243544 2.08822433283604 1.55810382863716 1.47379308658889 0.573977313887665 0.0301943327586978 0.54518551779079 0.403154766515914
"cell_99" 5.85476862144933 2.36813167371084 1.49439502587004 0.291495228512291 0.630043483719612 2.07445819882728 1.56127342309842 1.47816535181078 0.585518503112922 0.0446341853775613 0.566014563314008 0.417449238230798
"cell_100" 5.85636708781416 2.36413674668492 1.50521359047383 0.286998697923298 0.653379975600003 2.05783577637334 1.56889195018793 1.47132823195685 0.589416170770692 0.0537417176701424 0.579435466329916 0.420047376519854
"cell_101" 5.86829699221119 2.36533851842354 1.54752719653493 0.290382946993399 0.664196389255091 2.06573522424574 1.57958853973967 1.48641444770138 0.612830571213082 0.0600342704367113 0.581387520421314 0.436888909557315
"cell_102" 5.86126641850662 2.36855215633695 1.56626747731502 0.291374536733812 0.684246958874966 2.07007759280093 1.5970371166266 1.47901005294759 0.629249564473217 0.0662157416578429 0.605682818339615 0.45577511091859
"cell_103" 5.86021858747219 2.38216324353694 1.59515799069046 0.302983617026575 0.709052447083227 2.0576018815296 1.58748692970213 1.48257325582671 0.634542116266516 0.0661341971948226 0.619361893900907 0.466423354760288
"cell_104" 5.84073222620115 2.39333704886814 1.60865962398577 0.317178943325745 0.722443571192917 2.07836651704848 1.57744884046665 1.49187930913689 0.648933684359548 0.0753841797996577 0.634213633613725 0.484783030783707
"cell_105" 5.84412902236132 2.38205859504803 1.60747969970362 0.331832346093986 0.746464749441952 2.078243786599 1.58736689165322 1.50482437538299 0.651901087728941 0.0687929888946578 0.640128139672917 0.488932477878772
